filepath,filename,status,n_found_organs,found_labels,elapsed_s,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,core_centroid_z_mm,z_window_method,error
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028032-1.nii.gz,20251028032-1.nii.gz,ok,17,"1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,62",8.467316389083862,-142.0,-261.0,-1284.3671219374805,172.5,-35.0,-1004.3671219374805,-1184.3671219374805,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028034-1.nii.gz,20251028034-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",17.345344066619873,-243.5,-309.4166717529297,-1113.2314231974303,251.0,35.08332824707031,-833.2314231974303,-1013.2314231974303,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028036-1.nii.gz,20251028036-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",15.900696754455566,-145.0809326171875,-342.1266403198242,-819.9564932267231,259.4190673828125,-27.62664031982422,-539.9564932267231,-719.9564932267231,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028039-1.nii.gz,20251028039-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",17.911839723587036,-160.5861206054687,-276.98803710937494,-982.5741477810412,182.41387939453125,4.511962890625,-702.5741477810412,-882.5741477810412,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028051-1.nii.gz,20251028051-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",19.56181526184082,-167.64599609375,-242.5999984741211,511.7888888091584,185.85400390625,-1.5999984741210938,791.7888888091584,611.7888888091584,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028054-1.nii.gz,20251028054-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",26.452091455459595,-218.12899780273438,-284.5,19.358576746002882,201.37100219726562,61.5,299.3585767460029,119.35857674600288,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028055-1.nii.gz,20251028055-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",19.888938903808594,-144.25,-262.0,219.87049756655728,161.25,-6.0,499.8704975665573,319.8704975665573,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028056-1.nii.gz,20251028056-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",22.150732278823853,-245.84047302224943,-270.9376804221483,-502.2140772815348,235.26481433727872,61.54202052044377,-222.2140772815348,-402.2140772815348,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028058-1.nii.gz,20251028058-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",8.666056871414185,-126.03999328613287,-260.50000000000006,232.06965126598925,156.9600067138672,-42.0,512.0696512659893,332.06965126598925,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028059-1.nii.gz,20251028059-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",15.915292263031006,-197.4999999999999,-331.4999999999999,-882.2098936897805,219.0,-14.0,-602.2098936897805,-782.2098936897805,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028060-1.nii.gz,20251028060-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",10.68039584159851,-121.39599609375,-255.60000038146973,185.99982492603448,143.60400390625,-61.10000038146973,465.9998249260345,285.9998249260345,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028063-1.nii.gz,20251028063-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",10.403871536254883,-140.32455444335938,-277.07017493247986,-554.9345796534371,144.17544555664062,-99.07017493247986,-274.9345796534371,-454.9345796534371,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028065-1.nii.gz,20251028065-1.nii.gz,ok,16,"1,2,3,4,5,7,8,11,12,13,14,15,17,18,19,62",20.258700609207153,-167.13948059082026,-262.652416229248,-1018.6360869701134,159.3605194091797,8.347583770751953,-738.6360869701134,-918.6360869701134,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028066-1.nii.gz,20251028066-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",20.50257921218872,-125.64199829101562,-298.8000030517578,-89.40059170209759,236.85800170898438,-33.80000305175781,190.59940829790241,10.599408297902414,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028076-1.nii.gz,20251028076-1.nii.gz,ok,17,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,18,19,62",6.9949071407318115,-115.57691955566406,-276.73076820373535,-868.7941507876889,122.42308044433594,-107.73076820373535,-588.7941507876889,-768.7941507876889,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028077-1.nii.gz,20251028077-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",22.24488091468811,-140.0,-275.48246002197266,-121.51702038052775,206.0,13.517539978027344,158.48297961947225,-21.517020380527754,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028083-1.nii.gz,20251028083-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",21.212936639785767,-132.00000000000006,-287.00000000000006,-620.3480833610386,208.0,-55.0,-340.34808336103856,-520.3480833610386,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028086-1.nii.gz,20251028086-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",12.635465621948242,-147.26737585967538,-250.63928769886274,-760.4366937912548,148.48370034879161,-37.166993028471694,-480.4366937912548,-660.4366937912548,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028092-1.nii.gz,20251028092-1.nii.gz,ok,17,"1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,62",10.863054513931274,-109.66600036621094,-281.00202465057373,-590.3409088491295,152.33399963378906,-61.00202465057373,-310.3409088491295,-490.3409088491295,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028099-2.nii.gz,20251028099-2.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",19.81721830368042,-165.30499267578125,-287.9029998779297,-512.0495626719862,203.19500732421875,-30.402999877929688,-232.04956267198628,-412.0495626719863,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028100-1.nii.gz,20251028100-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",12.499023914337158,-119.92991934377062,-283.0563178965481,-339.27105057965895,195.4031505861057,-41.227304613051274,-59.27105057965895,-239.27105057965895,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028104-1.nii.gz,20251028104-1.nii.gz,ok,16,"1,2,3,4,5,7,9,10,12,13,14,15,17,18,19,62",16.77028775215149,-175.0,-378.0,-1085.3716824106677,249.0,77.5,-805.3716824106677,-985.3716824106677,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028105-1.nii.gz,20251028105-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",10.994834661483765,-130.4415130615235,-257.6962890625,-1155.5391911920672,142.05848693847656,-48.19628906249997,-875.5391911920672,-1055.5391911920672,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028116-1.nii.gz,20251028116-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",18.505280017852783,-45.34619140625,-125.281494140625,-611.7369076971329,290.15380859375,187.718505859375,-331.73690769713295,-511.73690769713295,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028120-1.nii.gz,20251028120-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",6.153502702713013,-155.21573040241532,-254.9280985542175,-594.6008811385118,125.29694768415047,-75.57727624007401,-314.60088113851174,-494.60088113851174,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028123-1.nii.gz,20251028123-1.nii.gz,ok,17,"1,2,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",19.577642917633057,-204.5,-293.0,-480.00861680539697,167.0,-32.5,-200.00861680539697,-380.00861680539697,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028127-1.nii.gz,20251028127-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",20.025978326797485,-156.61999511718756,-353.6200027465821,-777.088902629422,222.3800048828125,11.879997253417969,-497.088902629422,-677.088902629422,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028128-1.nii.gz,20251028128-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",14.28067135810852,-158.89869567726936,-245.9707890728558,-619.5914973291076,180.99807426170213,-14.554547911945747,-339.5914973291076,-519.5914973291076,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028132-1.nii.gz,20251028132-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",13.036875247955322,-141.08494296542773,-249.47320521202823,183.99651439911935,158.5143174359605,-40.910979315915114,463.99651439911935,283.99651439911935,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028135-1.nii.gz,20251028135-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",18.23879051208496,-141.33200073242188,-274.9000015258789,-839.1118371615421,125.16799926757812,-47.400001525878906,-559.1118371615421,-739.1118371615421,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028137-1.nii.gz,20251028137-1.nii.gz,ok,16,"1,2,3,4,5,7,8,11,12,13,14,15,17,18,19,62",21.5662739276886,-193.0,-331.5,-1884.934088740817,165.0,-68.0,-1604.934088740817,-1784.934088740817,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028139-1.nii.gz,20251028139-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",10.970973491668701,-142.51499938964844,-256.7319984436035,-663.6312062768937,182.48500061035156,-53.231998443603516,-383.63120627689375,-563.6312062768937,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028140-1.nii.gz,20251028140-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",22.46959376335144,-133.50000000000006,-373.2323303222656,-873.8454329092473,196.0,-18.232330322265568,-593.8454329092473,-773.8454329092473,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028142-1.nii.gz,20251028142-1.nii.gz,ok,16,"1,2,3,4,5,7,9,11,12,13,14,15,17,18,19,62",14.698219776153564,-157.44737243652344,-268.63157844543457,-527.1026344996204,173.55262756347656,-42.63157844543457,-247.10263449962042,-427.1026344996204,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028146-1.nii.gz,20251028146-1.nii.gz,ok,15,"1,2,3,4,5,7,11,12,13,14,15,17,18,19,62",18.989803075790405,-162.0,-268.0,-1630.3509916502821,181.0,12.0,-1350.3509916502821,-1530.3509916502821,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028154-1.nii.gz,20251028154-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",19.567659616470337,-145.7052612304688,-260.232421875,-744.88533458848,185.29473876953125,-17.732421874999943,-464.88533458847996,-644.88533458848,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028157-1.nii.gz,20251028157-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",12.538606643676758,-151.09680797829205,-254.7987806799755,-707.8556190643401,144.14762818017127,-74.58634253646352,-427.8556190643401,-607.8556190643401,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028160-1.nii.gz,20251028160-1.nii.gz,ok,17,"1,2,3,4,5,7,8,9,11,12,13,14,15,17,18,19,62",20.009451866149902,-127.45175170898438,-284.8245620727539,-827.845419124784,214.04824829101562,-54.324562072753906,-547.845419124784,-727.845419124784,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028163-1.nii.gz,20251028163-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",25.95672369003296,-194.65699768066406,-314.42572021484375,299.5190360736077,217.34300231933594,18.07427978515625,579.5190360736077,399.5190360736077,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028164-1.nii.gz,20251028164-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",20.28749179840088,-114.62600708007812,-261.1999969482422,-677.1543213389372,184.87399291992188,-23.199996948242188,-397.15432133893717,-577.1543213389372,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028169-1.nii.gz,20251028169-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",16.622463703155518,-167.54040021070216,-227.54935599215997,-555.2836314908168,142.7399500069668,-37.55924869766454,-275.28363149081673,-455.28363149081673,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028174-1.nii.gz,20251028174-1.nii.gz,ok,17,"1,2,3,4,5,7,8,9,11,12,13,14,15,17,18,19,62",20.41763663291931,-194.6280059814453,-244.29999923706055,78.36782243564164,133.3719940185547,-12.299999237060547,358.36782243564164,178.36782243564164,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028176-1.nii.gz,20251028176-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",9.931924819946289,-138.45262561532658,-282.18890653073606,-349.8893642061622,149.22617282461331,-78.68443318719841,-69.88936420616221,-249.8893642061622,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028179-1.nii.gz,20251028179-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",16.327145099639893,-160.416000366211,-241.298999786377,277.2056732544917,133.08399963378906,-22.798999786376953,557.2056732544918,377.2056732544917,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028182-1.nii.gz,20251028182-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",4.6980299949646,-151.60255070561698,-258.26658241144526,-691.0403969073811,139.53798345608237,-78.63606246334658,-411.04039690738114,-591.0403969073811,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028185-1.nii.gz,20251028185-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",15.75572657585144,-162.80299377441406,-284.11000061035156,-799.2618192863613,243.19700622558594,-22.110000610351562,-519.2618192863613,-699.2618192863613,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028189-1.nii.gz,20251028189-1.nii.gz,ok,17,"1,2,3,4,5,7,8,10,11,12,13,14,15,17,18,19,62",31.70630669593811,-145.5,-279.3000030517578,-1761.867419944627,260.5,29.199996948242188,-1481.867419944627,-1661.867419944627,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028193-1.nii.gz,20251028193-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",15.427371501922607,-196.04432105061437,-245.97453913551942,-1023.5593066245328,160.8148049343222,-2.267533168463302,-743.5593066245328,-923.5593066245328,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028197-1.nii.gz,20251028197-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",20.632693767547607,-158.17399597167974,-260.90000152587896,230.44877906361444,151.8260040283203,-16.900001525878906,510.44877906361444,330.44877906361444,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028201-1.nii.gz,20251028201-1.nii.gz,ok,17,"1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,62",13.407260417938232,-132.43026733398432,-266.16835021972656,-939.9609140246546,140.06973266601562,-29.668350219726534,-659.9609140246546,-839.9609140246546,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028206-1.nii.gz,20251028206-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",13.100930452346802,-142.73318481445324,-253.3499755859375,257.1314982003918,155.26681518554688,-49.84997558593747,537.1314982003918,357.1314982003918,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028208-1.nii.gz,20251028208-1.nii.gz,ok,17,"1,2,3,4,5,7,8,9,10,12,13,14,15,17,18,19,62",11.981318712234497,-160.37368774414062,-274.8789482116699,-1666.0836053292533,205.12631225585938,-48.87894821166992,-1386.0836053292533,-1566.0836053292533,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028211-1.nii.gz,20251028211-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",27.996336698532104,-176.97244262695298,-293.52734375,-249.18803510263604,176.52755737304693,11.972656249999886,30.811964897363964,-149.18803510263604,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028212-1.nii.gz,20251028212-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",20.602144956588745,-154.5,-292.8000030517578,-917.6217912532168,158.5,-15.800003051757812,-637.6217912532168,-817.6217912532168,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028219-1.nii.gz,20251028219-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",19.013386487960815,-148.41700744628906,-242.20000076293945,-1161.1632059831768,157.08299255371094,-1.2000007629394531,-881.1632059831768,-1061.1632059831768,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028228-1.nii.gz,20251028228-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",21.434130907058716,-165.57200622558594,-271.5519714355469,-676.0767023768839,154.92799377441406,-30.551971435546875,-396.0767023768839,-576.0767023768839,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028234-1.nii.gz,20251028234-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",18.75515604019165,-184.08200073242188,-246.07600021362305,237.48967928976515,188.91799926757812,-17.076000213623047,517.4896792897651,337.48967928976515,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028239-1.nii.gz,20251028239-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",23.401793956756592,-208.49999999999983,-272.02734375000006,-181.6055178569855,172.00000000000006,-41.527343750000114,98.3944821430145,-81.6055178569855,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028240-1.nii.gz,20251028240-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",10.23567819595337,-145.21909211459374,-255.37108548449683,-833.8045949946056,152.5016315821142,-51.57539391342672,-553.8045949946056,-733.8045949946056,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028243-1.nii.gz,20251028243-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",15.724718809127808,-176.00399780273438,-275.9199981689453,-309.9197107062853,208.99600219726562,-54.41999816894531,-29.919710706285287,-209.9197107062853,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028245-1.nii.gz,20251028245-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",21.381070613861084,-196.57894897460938,-367.68421173095703,-1070.637959614171,176.42105102539062,-15.684211730957031,-790.637959614171,-970.637959614171,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028247-1.nii.gz,20251028247-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",11.449825048446655,-165.1179962158203,-256.0,-1024.8757320311784,177.8820037841797,-18.0,-744.8757320311782,-924.8757320311782,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028248-1.nii.gz,20251028248-1.nii.gz,ok,17,"1,2,3,4,5,7,8,10,11,12,13,14,15,17,18,19,62",15.378406286239624,-135.14395141601562,-283.4620590209961,-808.044625150473,219.85604858398438,-27.462059020996094,-528.044625150473,-708.044625150473,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028252-1.nii.gz,20251028252-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",16.652854442596436,-161.97821044921875,-281.21099853515625,-716.849185158779,178.02178955078125,-26.71099853515625,-436.84918515877905,-616.849185158779,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028260-1.nii.gz,20251028260-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",10.934889793395996,-138.05781521579408,-255.10825395520453,-693.6717656118433,149.28246724445444,-12.857704703825362,-413.6717656118433,-593.6717656118433,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028263-1.nii.gz,20251028263-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",16.472208261489868,-147.99879455566406,-275.97821044921875,-848.6763027315137,171.00120544433594,-55.97821044921875,-568.6763027315137,-748.6763027315137,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028264-1.nii.gz,20251028264-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",16.104401111602783,-145.9999999999999,-258.9999999999999,-931.1108514159984,236.0,-34.5,-651.1108514159984,-831.1108514159984,fixed_window_core_centroid,
